ID,Lat,Lon,Name
001006,-15.5100,128.1503,WYNDHAM AERO             
001007,-13.7542,126.1485,TROUGHTON ISLAND             
001010,-14.7885,126.4963,THEDA              
001013,-15.4869,128.1236,WYNDHAM              
001014,-15.9083,128.1286,EMMA GORGE             
001018,-16.4181,126.1025,MOUNT ELIZABETH             
001019,-14.2964,126.6453,KALUMBURU              
001020,-14.0900,126.3867,TRUSCOTT              
001023,-16.0086,127.9806,EL QUESTRO             
001024,-15.9572,127.0628,ELLENBRAE              
001025,-15.3797,126.3114,DOONGAN              
001026,-15.7031,126.3781,DRYSDALE RIVER STATION            
001027,-15.6394,128.0803,DIGGERS REST             
001028,-15.7231,127.8292,HOME VALLEY             
001030,-14.5786,125.9133,KIMBERLEY COASTAL CAMP            
001031,-13.9600,127.1964,FARAWAY BAY             
001034,-15.4533,128.1239,WEST BASTION             
001035,-15.5972,128.2783,PARRY CREEK FARM            
001036,-15.3792,126.3108,DOONGAN ASA             
002001,-16.5039,128.9173,ARGYLE DOWNS             
002005,-15.4864,128.5344,CARLTON HILL             
002009,-16.4202,126.4412,GIBB RIVER             
002012,-18.2291,127.6636,HALLS CREEK METEOROLOGICAL OFFICE           
002013,-15.6900,128.6833,IVANHOE STATION             
002014,-15.6545,128.7091,KIMBERLEY RES.STATION             
002016,-16.6742,128.5533,LISSADELL              
002019,-18.6253,126.8617,MARGARET RIVER STATION            
002020,-18.1894,127.5011,MOOLA BULLA             
002021,-18.3869,126.9892,MOUNT AMHURST             
002022,-18.0160,126.3033,MOUNT WINIFRED             
002023,-18.0310,128.8941,NICHOLSON              
002026,-18.5959,127.6420,RUBY PLAINS             
002028,-16.8180,128.8656,SPRING CREEK             
002029,-19.1625,128.1633,STURT CREEK             
002030,-17.2986,126.9158,YULMBU              
002032,-17.0154,128.2174,WARMUN              
002036,-17.3922,126.2306,OLD MORNINGTON HOMESTEAD            
002043,-18.3368,126.1243,MOUNT KRAUSS             
002044,-16.1119,128.7414,LAKE ARGYLE RESORT            
002047,-17.2631,127.4617,BEDFORD DOWNS             
002048,-18.2972,128.4419,FLORA VALLEY             
002049,-18.1947,127.8147,SOPHIE DOWNS             
002050,-17.7842,127.6853,SPRINGVALE              
002051,-19.5557,127.6661,BILLILUNA              
002053,-17.6133,126.7442,LANSDOWNE              
002056,-15.7814,128.7100,KUNUNURRA AERO             
002060,-16.0397,128.4150,KINGSTON REST             
002061,-19.3322,127.6367,CARRANYA              
002062,-18.4233,128.0308,FOX RIVER             
002064,-16.6380,128.4516,ARGYLE AERODROME             
002067,-15.9816,128.9991,KUNUNURRA CHECKPOINT             
002068,-17.0716,126.8494,MARION DOWNS             
002069,-16.4433,127.7836,KACHANA              
002072,-17.2797,127.4648,BEDFORD DOWNS AIRSTRIP            
002073,-18.6217,126.8831,MARGARET RIVER AIRSTRIP            
002074,-18.1958,127.4948,MOOLA BULLA AIRSTRIP            
002075,-19.0372,126.0933,BULKA              
002076,-17.5115,126.1095,MORNINGTON              
002077,-16.9203,126.5511,SIDDINS CREEK             
002078,-18.8318,126.5301,LARRAWA AIRFIELD             
003000,-16.9807,122.6662,BEAGLE BAY             
003001,-17.2767,122.5711,COUNTRY DOWNS             
003003,-17.9475,122.2352,BROOME AIRPORT             
003004,-16.3961,122.9278,CAPE LEVEQUE             
003005,-17.5725,125.0675,FAIRFIELD STATION             
003008,-17.9281,124.8108,ELLENDALE              
003009,-18.3547,125.3033,JUBILEE DOWNS             
003010,-17.3927,124.3574,KIMBERLEY DOWNS             
003011,-17.7535,125.3807,LEOPOLD DOWNS             
003014,-18.2914,125.5869,GOGO STATION             
003015,-17.3680,123.9956,MEDA              
003017,-17.0516,125.7051,MOUNT HOUSE STATION            
003018,-18.1225,124.2692,MYROODAH              
003019,-17.3305,124.8166,NAPIER DOWNS             
003020,-18.4922,124.3992,NERRIMA              
003022,-18.3817,125.2267,QUANBUN DOWNS             
003023,-17.9315,122.4722,ROEBUCK PLAINS             
003024,-17.9464,123.7383,UDIALLA              
003026,-17.6153,123.6483,YEEDA              
003027,-18.1386,125.7764,FOSSIL DOWNS             
003028,-19.2536,121.4861,ANNA PLAINS             
003030,-18.6844,121.7803,BIDYADANGA              
003032,-17.3706,123.6611,DERBY AERO             
003033,-17.7472,124.5283,BLINA              
003040,-17.9903,124.1922,CAMBALLIN              
003041,-17.6924,122.7127,KILTO STATION             
003043,-18.8772,125.9207,CHRISTMAS CREEK HOMESTEAD            
003044,-18.1103,125.6431,BROOKING SPRINGS             
003048,-18.9159,125.5264,CHERRABUN              
003051,-16.7372,125.9086,MOUNT BARNETT             
003052,-16.8214,124.9151,MOUNT HART STATION            
003056,-18.1792,122.3583,THANGOO              
003057,-16.4513,123.0087,CYGNET BAY             
003059,-19.0861,121.6764,NITA DOWNS             
003063,-16.7164,125.4600,CHARNLEY RIVER             
003066,-18.5175,121.8072,PORT SMITH             
003068,-18.5077,123.4561,DAMPIER DOWNS             
003073,-16.6872,123.8375,KIMBOLTON              
003074,-17.9343,123.4736,YAKKAMUNGA              
003075,-17.3136,123.6497,DERBY MAIN ROADS            
003079,-18.9897,121.7208,SHELAMAR              
003080,-17.5768,123.8297,CURTIN AERO             
003084,-17.3436,123.6781,DERBY (MANNING RD)            
003086,-17.7278,123.6547,WILLARE BRIDGE             
003088,-18.8375,126.5247,LARRAWA              
003090,-17.7981,124.0772,DEBESA              
003091,-18.9894,125.8478,BEEFWOOD PARK             
003093,-18.1814,125.5619,FITZROY CROSSING AERO            
003094,-17.4211,124.9246,WINDJANA GORGE             
003098,-17.0535,125.7120,MOUNT HOUSE AIRSTRIP            
003099,-17.7535,125.3807,LEOPOLD DOWNS TBRG            
003100,-17.9503,124.2653,LIVERINGA STATION             
003101,-18.5096,123.4676,DAMPIER DOWNS AIRSTRIP            
003102,-18.0008,122.2183,BROOME NTC AWS            
003103,-16.7742,122.5762,MIDDLE LAGOON             
003104,-17.6450,123.1678,BIDAN              
003105,-18.1105,125.3347,LAUREL DOWNS             
003109,-18.0015,122.2176,BROOME NTC AWS COMPARISON           
004004,-20.9264,120.2075,BAMBOO CREEK             
004006,-22.1828,119.9350,BONNEY DOWNS             
004008,-20.6392,119.2431,CARLINDIE              
004012,-20.1756,119.1908,DE GREY             
004015,-21.7219,119.3989,HILLSIDE STATION             
004016,-20.7867,118.5972,INDEE              
