day,rain
-9130,
-9129,
-9128,
-9127,
-9126,
-9125,
-9124,
-9123,
-9122,
-9121,
-9120,
-9119,
-9118,
-9117,
-9116,
-9115,
-9114,
-9113,
-9112,
-9111,
-9110,
-9109,
-9108,
-9107,
-9106,
-9105,
-9104,
-9103,
-9102,
-9101,
-9100,
-9099,
-9098,
-9097,
-9096,
-9095,
-9094,
-9093,
-9092,
-9091,
-9090,
-9089,
-9088,
-9087,
-9086,
-9085,
-9084,
-9083,
-9082,
-9081,
-9080,
-9079,
-9078,
-9077,
-9076,
-9075,
-9074,
-9073,
-9072,
-9071,
-9070,
-9069,
-9068,
-9067,
-9066,
-9065,
-9064,
-9063,
-9062,
-9061,
-9060,
-9059,
-9058,
-9057,
-9056,
-9055,
-9054,
-9053,
-9052,
-9051,
-9050,
-9049,
-9048,
-9047,
-9046,
-9045,
-9044,
-9043,
-9042,
-9041,
-9040,
-9039,
-9038,
-9037,
-9036,
-9035,
-9034,
-9033,
-9032,
-9031,
-9030,
-9029,
-9028,
-9027,
-9026,
-9025,
-9024,
-9023,
-9022,
-9021,
-9020,
-9019,
-9018,
-9017,
-9016,
-9015,
-9014,
-9013,
-9012,
-9011,
-9010,
-9009,
-9008,
-9007,
-9006,
-9005,
-9004,
-9003,
-9002,
-9001,
-9000,
-8999,
-8998,
-8997,
-8996,
-8995,
-8994,
-8993,
-8992,
-8991,
-8990,
-8989,
-8988,
-8987,
-8986,
-8985,
-8984,
-8983,
-8982,
-8981,
-8980,
-8979,
-8978,
-8977,
-8976,
-8975,
-8974,
-8973,
-8972,
-8971,
-8970,
-8969,
-8968,
-8967,
-8966,
-8965,
-8964,
-8963,
-8962,
-8961,
-8960,
-8959,
-8958,
-8957,
-8956,
-8955,
-8954,
-8953,
-8952,
-8951,
-8950,
-8949,
-8948,
-8947,
-8946,
-8945,
-8944,
-8943,
-8942,
-8941,
-8940,
-8939,
-8938,
-8937,
-8936,
-8935,
-8934,
-8933,
-8932,
-8931,
-8930,
-8929,
-8928,
-8927,
-8926,
-8925,
-8924,
-8923,
-8922,
-8921,
-8920,
-8919,
-8918,
-8917,
-8916,
-8915,
-8914,
-8913,
-8912,
-8911,
-8910,
-8909,
-8908,
-8907,
-8906,
-8905,
-8904,
-8903,
-8902,
-8901,
-8900,
-8899,
-8898,
-8897,
-8896,
-8895,
-8894,
-8893,
-8892,
-8891,
-8890,
-8889,
-8888,
-8887,
-8886,
-8885,
-8884,
-8883,
-8882,
-8881,
-8880,
-8879,
-8878,
-8877,
-8876,
-8875,
-8874,
-8873,
-8872,
-8871,
-8870,
-8869,
-8868,
-8867,
-8866,
-8865,
-8864,
-8863,
-8862,
-8861,
-8860,
-8859,
-8858,
-8857,
-8856,
-8855,
-8854,
-8853,
-8852,
-8851,
-8850,
-8849,
-8848,
-8847,
-8846,
-8845,
-8844,
-8843,
-8842,
-8841,
-8840,
-8839,
-8838,
-8837,
-8836,
-8835,
-8834,
-8833,
-8832,
-8831,
-8830,
-8829,
-8828,
-8827,
-8826,19.8
-8825,0.0
-8824,2.0
-8823,1.0
-8822,0.0
-8821,0.0
-8820,0.0
-8819,0.0
-8818,0.0
-8817,24.2
-8816,0.0
-8815,0.0
-8814,3.4
-8813,4.4
-8812,0.2
-8811,6.8
-8810,9.4
-8809,0.0
-8808,0.0
-8807,0.0
-8806,0.0
-8805,65.4
-8804,11.2
-8803,2.8
-8802,0.4
-8801,0.0
-8800,6.6
-8799,0.0
-8798,0.6
-8797,0.0
-8796,0.0
-8795,0.0
-8794,0.0
-8793,16.2
-8792,0.0
-8791,0.0
-8790,24.0
-8789,15.6
-8788,0.0
-8787,3.2
-8786,19.2
-8785,2.4
-8784,35.6
-8783,0.0
-8782,26.2
-8781,0.2
-8780,4.0
-8779,0.0
-8778,10.4
-8777,25.4
-8776,0.0
-8775,1.0
-8774,0.2
-8773,0.2
-8772,8.6
-8771,26.8
-8770,1.4
-8769,16.6
-8768,47.6
-8767,0.0
-8766,38.0
-8765,0.2
-8764,0.0
-8763,0.0
-8762,0.0
-8761,22.0
-8760,2.0
-8759,0.0
-8758,73.0
-8757,3.4
-8756,18.4
-8755,0.4
-8754,23.4
-8753,3.0
-8752,3.2
-8751,6.2
-8750,0.0
-8749,0.0
-8748,6.0
-8747,10.4
-8746,0.0
-8745,0.0
-8744,5.6
-8743,0.0
-8742,26.4
-8741,0.0
-8740,25.6
-8739,38.6
-8738,0.0
-8737,2.2
-8736,0.0
-8735,0.0
-8734,0.0
-8733,0.0
-8732,
-8731,9.4
-8730,3.4
-8729,0.0
-8728,4.0
-8727,4.4
-8726,0.0
-8725,24.6
-8724,3.4
-8723,12.2
-8722,1.6
-8721,17.8
-8720,0.0
-8719,
-8718,
-8717,83.6
-8716,0.0
-8715,0.0
-8714,9.4
-8713,4.4
-8712,10.2
-8711,4.6
-8710,1.4
-8709,7.8
-8708,51.2
-8707,109.4
-8706,80.2
-8705,55.2
-8704,3.6
-8703,7.6
-8702,14.8
-8701,2.4
-8700,44.4
-8699,10.2
-8698,31.4
-8697,67.0
-8696,31.0
-8695,3.2
-8694,0.0
-8693,0.0
-8692,0.0
-8691,0.0
-8690,0.0
-8689,0.0
-8688,0.0
-8687,0.0
-8686,0.0
-8685,20.2
-8684,0.0
-8683,0.0
-8682,0.0
-8681,0.0
-8680,0.0
-8679,0.0
-8678,0.0
-8677,0.0
-8676,4.4
-8675,0.0
-8674,0.0
-8673,0.0
-8672,0.0
-8671,0.0
-8670,0.0
-8669,14.8
-8668,3.2
-8667,9.6
-8666,0.0
-8665,0.0
-8664,0.0
-8663,0.0
-8662,0.0
-8661,0.0
-8660,0.0
-8659,0.0
-8658,0.0
-8657,0.0
-8656,0.0
-8655,0.0
-8654,0.0
-8653,10.8
-8652,0.0
-8651,0.0
-8650,0.0
-8649,0.0
-8648,0.0
-8647,0.0
-8646,0.0
-8645,0.0
-8644,0.0
-8643,0.0
-8642,0.0
-8641,0.0
-8640,0.0
-8639,0.0
-8638,0.0
-8637,0.0
-8636,0.0
-8635,0.0
-8634,0.0
-8633,0.0
-8632,0.0
-8631,0.0
-8630,0.0
-8629,0.0
-8628,0.0
-8627,0.0
-8626,0.0
-8625,0.0
-8624,0.0
-8623,0.0
-8622,0.0
-8621,0.0
-8620,0.0
-8619,0.0
-8618,0.0
-8617,0.0
-8616,0.0
-8615,0.0
-8614,0.0
-8613,0.0
-8612,0.0
-8611,0.0
-8610,0.0
-8609,0.0
-8608,0.0
-8607,0.0
-8606,0.0
-8605,0.0
-8604,0.0
-8603,0.0
-8602,0.0
-8601,0.0
-8600,0.0
-8599,0.0
-8598,0.0
-8597,0.0
-8596,0.0
-8595,0.0
-8594,0.0
-8593,0.0
-8592,0.0
-8591,0.0
-8590,0.0
-8589,0.0
-8588,0.0
-8587,0.0
-8586,0.0
-8585,0.0
-8584,0.0
-8583,0.0
-8582,0.0
-8581,0.0
-8580,0.0
-8579,0.0
-8578,0.0
-8577,0.0
-8576,0.0
-8575,0.0
-8574,0.0
-8573,0.0
-8572,0.0
-8571,0.0
-8570,0.0
-8569,0.0
-8568,0.0
-8567,0.0
-8566,0.0
-8565,0.0
-8564,0.0
-8563,0.0
-8562,0.0
-8561,0.0
-8560,0.0
-8559,0.0
-8558,0.0
-8557,0.0
-8556,0.0
-8555,0.0
-8554,0.0
-8553,0.0
-8552,0.0
-8551,0.0
-8550,0.0
-8549,0.0
-8548,0.0
-8547,0.0
-8546,0.0
-8545,0.0
-8544,0.0
-8543,0.0
-8542,0.0
-8541,0.0
-8540,0.0
-8539,0.0
